# Antenna Pattern Export
Name,Cellular Sector 65° Beamwidth
Manufacturer,Generic Telecom
Model,CS-2100-65-17
Frequency_MHz,2100.0
Max_Gain_dBi,17.5
Horizontal_Beamwidth_Deg,65.0
Vertical_Beamwidth_Deg,7.0
Electrical_Tilt_Deg,3.0
Mechanical_Tilt_Deg,0.0

Azimuth,Elevation,Gain_dB
0,0,17.5
10,0,17.2
20,0,16.1
30,0,13.8
32.5,0,14.5
40,0,10.2
50,0,6.5
60,0,3.2
70,0,0.5
80,0,-2.1
90,0,-4.8
100,0,-7.2
110,0,-9.5
120,0,-12.1
130,0,-14.8
140,0,-17.2
150,0,-19.5
160,0,-21.3
170,0,-22.8
180,0,-23.5
190,0,-22.8
200,0,-21.3
210,0,-19.5
220,0,-17.2
230,0,-14.8
240,0,-12.1
250,0,-9.5
260,0,-7.2
270,0,-4.8
280,0,-2.1
290,0,0.5
300,0,3.2
310,0,6.5
320,0,10.2
327.5,0,14.5
330,0,13.8
340,0,16.1
350,0,17.2
0,-10,14.2
10,-10,13.9
20,-10,12.8
30,-10,10.5
40,-10,6.9
50,-10,3.2
60,-10,0.0
90,-10,-8.1
120,-10,-15.4
150,-10,-22.8
180,-10,-26.8
210,-10,-22.8
240,-10,-15.4
270,-10,-8.1
300,-10,0.0
310,-10,3.2
320,-10,6.9
330,-10,10.5
340,-10,12.8
350,-10,13.9
0,-20,8.5
30,-20,6.2
60,-20,-4.3
90,-20,-12.4
120,-20,-19.7
150,-20,-27.1
180,-20,-31.1
210,-20,-27.1
240,-20,-19.7
270,-20,-12.4
300,-20,-4.3
330,-20,6.2
0,10,14.2
10,10,13.9
20,10,12.8
30,10,10.5
40,10,6.9
50,10,3.2
60,10,0.0
90,10,-8.1
120,10,-15.4
150,10,-22.8
180,10,-26.8
210,10,-22.8
240,10,-15.4
270,10,-8.1
300,10,0.0
310,10,3.2
320,10,6.9
330,10,10.5
340,10,12.8
350,10,13.9
0,20,8.5
30,20,6.2
60,20,-4.3
90,20,-12.4
120,20,-19.7
150,20,-27.1
180,20,-31.1
210,20,-27.1
240,20,-19.7
270,20,-12.4
300,20,-4.3
330,20,6.2
